timestamp,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (m/s),wind_speed_100m (m/s),shortwave_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²)
1640995200,11.7,78,1020.4,3.26,7.35,0.0,0.0,0.0
1640998800,11.3,78,1020.1,2.64,6.60,0.0,0.0,0.0
1641002400,11.3,79,1020.2,3.09,6.98,0.0,0.0,0.0
1641006000,11.1,83,1019.9,2.95,6.65,0.0,0.0,0.0
1641009600,11.3,84,1019.8,3.64,7.56,0.0,0.0,0.0
1641013200,11.3,85,1019.9,3.54,7.27,0.0,0.0,0.0
1641016800,10.7,84,1019.9,3.26,6.93,0.0,0.0,0.0
1641020400,11.1,80,1020.2,3.67,7.57,53.6,29.1,210.0
1641024000,13.0,79,1020.6,4.32,8.90,198.1,70.6,495.0
1641027600,14.6,81,1021.0,6.23,9.13,317.3,86.9,634.1
1641031200,15.4,79,1021.0,7.11,10.11,372.5,115.6,601.4
1641034800,15.5,73,1020.6,6.95,9.86,406.3,106.1,675.2
1641038400,15.2,74,1020.3,6.89,9.97,385.3,89.9,713.0
1641042000,14.8,80,1019.8,6.89,9.97,305.5,75.7,678.8
1641045600,14.5,81,1020.0,6.85,10.25,178.0,62.7,518.3
1641049200,13.8,83,1020.1,7.00,11.20,49.6,23.6,298.5
1641052800,13.5,85,1020.4,6.69,11.03,0.0,0.0,0.0
1641056400,13.4,88,1021.1,7.10,11.54,0.0,0.0,0.0
1641060000,13.3,89,1021.5,6.25,10.42,0.0,0.0,0.0
1641063600,13.1,89,1021.7,6.16,10.54,0.0,0.0,0.0
1641067200,13.1,87,1021.9,6.44,11.00,0.0,0.0,0.0
1641070800,13.2,84,1022.0,6.65,11.28,0.0,0.0,0.0
1641074400,13.3,83,1022.3,6.47,11.21,0.0,0.0,0.0
1641078000,13.1,84,1022.2,6.24,10.94,0.0,0.0,0.0
1641081600,13.4,86,1021.9,6.72,11.45,0.0,0.0,0.0
1641085200,13.4,90,1022.0,6.35,10.87,0.0,0.0,0.0
1641088800,13.3,92,1022.0,5.66,10.02,0.0,0.0,0.0
1641092400,12.9,93,1022.0,5.14,9.24,0.0,0.0,0.0
1641096000,12.5,93,1021.9,5.10,9.35,0.0,0.0,0.0
1641099600,12.2,93,1022.0,4.76,8.99,0.0,0.0,0.0
1641103200,12.0,92,1022.3,4.48,8.63,0.0,0.0,0.0
1641106800,12.3,90,1022.6,4.22,8.08,53.6,29.1,210.2
1641110400,13.7,85,1022.8,4.05,7.83,198.2,70.6,494.7
1641114000,15.0,80,1023.0,4.17,6.54,323.2,83.4,658.6
1641117600,15.7,77,1022.9,4.12,5.82,402.6,85.7,740.1
1641121200,16.2,75,1022.3,3.67,5.01,428.7,84.9,770.8
1641124800,16.2,73,1021.8,3.58,4.79,399.8,80.3,767.9
1641128400,16.0,73,1021.5,3.10,4.14,319.2,70.4,730.4
1641132000,15.4,78,1021.2,2.24,3.08,195.8,52.7,637.0
1641135600,13.2,92,1021.1,1.80,2.60,55.9,21.9,389.1
1641139200,13.7,87,1021.1,1.33,1.50,0.0,0.0,0.0
1641142800,13.0,91,1021.4,0.63,0.67,0.0,0.0,0.0
1641146400,9.8,97,1021.5,0.78,0.40,0.0,0.0,0.0
1641150000,8.3,96,1021.4,1.50,1.80,0.0,0.0,0.0
1641153600,6.8,96,1021.6,2.48,2.61,0.0,0.0,0.0
1641157200,6.1,97,1021.4,2.92,3.22,0.0,0.0,0.0
1641160800,6.0,96,1021.3,2.86,4.24,0.0,0.0,0.0
1641164400,5.9,96,1021.0,3.18,4.88,0.0,0.0,0.0
1641168000,6.5,97,1020.9,2.53,3.51,0.0,0.0,0.0
1641171600,6.2,98,1020.8,2.64,4.53,0.0,0.0,0.0
1641175200,7.7,97,1020.6,2.40,5.39,0.0,0.0,0.0
1641178800,9.4,93,1020.2,3.11,6.40,0.0,0.0,0.0
1641182400,9.4,92,1019.8,3.06,6.62,0.0,0.0,0.0
1641186000,9.1,92,1019.4,2.69,6.24,0.0,0.0,0.0
1641189600,9.1,91,1019.6,2.97,6.69,0.0,0.0,0.0
1641193200,9.6,88,1019.7,3.33,6.82,53.6,31.3,190.9
1641196800,10.9,83,1019.7,2.94,5.94,199.6,70.6,499.3
1641200400,12.1,77,1020.0,3.08,4.40,325.6,78.8,676.5
1641204000,13.2,73,1019.5,2.70,3.69,405.9,85.7,745.9
1641207600,13.9,68,1018.7,3.09,4.05,427.8,92.0,750.5
1641211200,14.1,68,1017.9,2.04,2.50,400.0,81.3,762.7
1641214800,13.7,71,1017.4,2.73,3.45,317.7,73.2,713.7
